ms,degC
2021,24.50
4043,24.50
6066,24.50
8088,24.50
10110,24.50
12134,24.60
14157,24.80
16182,24.80
18205,24.80
20228,25.30
22250,25.30
24272,25.80
26295,26.10
28318,26.20
30343,26.70
32366,26.70
-31148,27.10
-29125,27.60
-27103,27.60
-25079,28.00
-23056,28.00
-21031,28.50
-19008,28.50
-16986,28.90
-14963,28.90
-12941,29.30
-10916,29.30
-8894,29.80
-6872,29.80
-4849,29.90
-2826,30.20
-802,30.20
1222,30.80
3246,30.80
5268,30.80
7290,31.30
9313,31.30
11335,31.30
13360,31.30
15382,31.80
17404,31.80
19427,31.80
21451,31.80
23475,32.30
25497,32.30
27520,32.30
29542,32.30
31564,32.80
-31949,32.80
-29927,32.80
-27904,32.80
-25881,32.80
-23858,32.80
-21835,33.30
-19813,33.30
-17790,33.30
