ms,degC
16181,30.80
18203,30.80
20228,30.80
22250,31.30
24272,31.30
26297,31.30
28319,31.80
30342,31.80
32366,32.30
-31148,32.30
-29125,32.70
-27103,32.80
-25078,32.80
-23056,33.30
-21033,33.30
-19011,33.30
-16989,33.80
-14965,33.80
-12941,33.90
-10917,34.20
-8894,34.20
-6872,34.20
-4849,34.70
-804,34.70
1218,35.20
3240,35.20
5263,35.20
7286,35.20
9311,35.60
11334,35.60
13357,35.60
15379,35.60
17403,35.60
19427,36.30
21449,36.30
23472,36.30
25494,36.30
29540,36.30
31562,36.90
-31949,36.90
-29927,36.90
-27904,36.90
-25881,36.90
-23859,36.90
-21836,36.90
-19814,37.40
-17790,37.40
-15766,37.40
-13744,37.40
-11721,37.40
-9699,37.40
-7674,37.40
-5651,37.40
-3629,37.40
-1606,37.40
416,37.50
2441,37.40
4463,37.40
