ms,degC
12137,26.70
14159,26.70
16182,26.70
18206,26.30
20229,26.20
22251,26.20
24273,26.60
26297,26.70
28321,26.70
30344,26.70
32366,26.70
-31148,27.10
-29125,27.10
-27103,27.10
-25079,27.40
-23055,27.60
-21032,27.60
-19010,27.80
-16988,28.00
-14965,28.00
-12943,28.10
-10920,28.50
-8898,28.50
-6876,28.50
-4852,28.90
-2828,28.90
-804,28.90
1218,29.30
3240,29.30
5263,29.30
7285,29.80
9310,29.80
11333,29.80
13356,29.80
15378,30.20
17400,30.20
19423,30.20
21445,30.20
23468,30.80
25491,30.80
27515,30.80
29539,30.80
31952,31.30
-29928,31.30
-27906,31.30
-25883,31.30
-23861,31.80
-21836,31.80
-19813,31.80
-17790,31.80
-15768,31.80
-13746,31.80
-11721,32.30
-9698,32.30
-7674,32.30
-5651,32.30
-3628,32.30
-1605,32.30
