ms,degC
2021,28.50
4043,28.50
6066,28.50
8088,28.50
10112,28.50
12136,28.50
14159,28.50
16182,28.90
18204,28.90
20227,28.90
22249,28.90
24273,29.30
26296,29.30
28318,29.30
30341,29.30
32365,29.80
-31148,29.80
-29125,29.80
-27103,29.80
-25080,30.20
-23058,30.2
-21034,30.20
-19011,30.20
-16987,30.80
-14964,30.80
-12942,30.80
-10917,30.80
-8894,31.00
-6872,31.30
-4849,31.30
-2826,31.30
-803,31.30
1219,31.80
3241,31.80
5264,31.80
7286,31.80
9311,31.80
11334,32.10
13358,32.30
15380,32.30
17402,32.30
19425,32.30
21447,32.30
23471,32.80
25494,32.80
27517,32.80
29541,32.80
31565,32.80
-31947,32.80
-29924,32.80
-27901,33.30
-25879,33.30
-23857,33.30
