ms,degC
11340,25.30
13363,25.30
15386,25.80
17411,26.20
19433,26.20
21455,26.70
23478,26.70
25502,27.10
27526,27.10
29548,27.60
31570,27.80
-31943,28.00
-29920,28.10
-27895,28.50
-25873,28.50
-23850,28.90
-21828,28.90
-19804,29.30
-17781,29.30
-15759,29.30
-13735,29.80
-11711,29.80
-9689,30.10
-7666,30.20
-5644,30.20
-3621,30.80
-1599,30.80
423,30.80
2447,30.80
4471,31.30
6494,31.30
8516,31.30
10539,31.30
12562,31.80
14586,31.80
16609,31.80
18631,31.80
20654,32.30
22677,32.30
24701,32.30
26725,32.30
28748,32.80
30771,32.80
-32743,32.80
-30720,32.80
-28698,32.80
-26676,32.80
-24653,32.80
-22631,32.80
-20608,32.80
-18585,32.80
-16562,32.80
-14538,32.80
-12515,32.30
-10490,32.30
-8467,32.30
-6444,32.30
